unit_id,quarter_hour_start_ts,kwh_consumed,energy_unit_rate,estimated_running_cost
LOC030-U01,2026-01-01T10:00:00+00:00,1.878,0.291,8.24
LOC030-U01,2026-01-01T10:15:00+00:00,2.339,0.26,6.76
LOC030-U01,2026-01-01T10:30:00+00:00,2.719,0.243,10.06
LOC030-U01,2026-01-01T10:45:00+00:00,3.242,0.34,8.99
LOC030-U01,2026-01-01T11:00:00+00:00,2.272,0.344,8.98
LOC030-U01,2026-01-01T11:15:00+00:00,1.911,0.302,10.18
LOC030-U01,2026-01-01T11:30:00+00:00,2.3,0.291,7.63
LOC030-U01,2026-01-01T11:45:00+00:00,1.915,0.361,7.82
LOC030-U01,2026-01-01T12:00:00+00:00,2.262,0.326,8.59
LOC030-U01,2026-01-01T12:15:00+00:00,1.773,0.282,8.37
LOC030-U01,2026-01-01T12:30:00+00:00,1.883,0.282,7.29
LOC030-U01,2026-01-01T12:45:00+00:00,1.881,0.347,10.22
LOC030-U01,2026-01-01T13:00:00+00:00,2.508,0.357,9.91
LOC030-U01,2026-01-01T13:15:00+00:00,1.686,0.264,9.41
LOC030-U01,2026-01-01T13:30:00+00:00,1.658,0.356,8.2
LOC030-U01,2026-01-01T13:45:00+00:00,2.187,0.362,11.77
LOC030-U01,2026-01-01T14:00:00+00:00,1.805,0.266,8.65
LOC030-U01,2026-01-01T14:15:00+00:00,2.245,0.227,7.77
LOC030-U01,2026-01-01T14:30:00+00:00,1.555,0.228,10.39
LOC030-U01,2026-01-01T14:45:00+00:00,2.287,0.33,10.96
LOC030-U01,2026-01-01T15:00:00+00:00,1.969,0.337,10.31
LOC030-U01,2026-01-01T15:15:00+00:00,2.219,0.346,7.51
LOC030-U01,2026-01-01T15:30:00+00:00,2.084,0.316,10.12
LOC030-U01,2026-01-01T15:45:00+00:00,2.213,0.238,10.08
LOC030-U01,2026-01-01T16:00:00+00:00,1.973,0.291,6.69
LOC030-U01,2026-01-01T16:15:00+00:00,2.653,0.262,9.42
LOC030-U01,2026-01-01T16:30:00+00:00,2.234,0.254,8.14
LOC030-U01,2026-01-01T16:45:00+00:00,2.506,0.234,10.25
LOC030-U01,2026-01-01T17:00:00+00:00,2.1,0.357,8.84
LOC030-U01,2026-01-01T17:15:00+00:00,2.732,0.348,11.81
LOC030-U01,2026-01-01T17:30:00+00:00,2.291,0.289,7.1
LOC030-U01,2026-01-01T17:45:00+00:00,1.581,0.236,8.22
LOC030-U01,2026-01-01T18:00:00+00:00,1.829,0.268,11.48
