snapshot_date,country_code,location_id,unit_id,product_id,on_hand_quantity,reserved_quantity,waste_quantity
2026-01-01,NZ,LOC030,LOC030-U01,P006,69,15,2
2026-01-01,NZ,LOC030,LOC030-U01,P003,21,19,2
2026-01-01,NZ,LOC030,LOC030-U01,P001,64,1,3
2026-01-01,NZ,LOC030,LOC030-U01,P007,66,0,0
2026-01-01,TH,LOC028,LOC028-U01,P006,183,18,7
2026-01-01,TH,LOC028,LOC028-U01,P003,166,8,3
2026-01-01,TH,LOC028,LOC028-U01,P001,100,3,4
2026-01-01,TH,LOC028,LOC028-U01,P007,45,8,4
2026-01-01,AE,LOC022,LOC022-U01,P006,42,3,7
2026-01-01,AE,LOC022,LOC022-U01,P003,22,16,6
2026-01-01,AE,LOC022,LOC022-U01,P001,150,3,2
2026-01-01,AE,LOC022,LOC022-U01,P007,169,7,0
2026-01-01,MX,LOC034,LOC034-U01,P006,88,13,4
2026-01-01,MX,LOC034,LOC034-U01,P003,178,3,5
2026-01-01,MX,LOC034,LOC034-U01,P001,189,8,5
2026-01-01,MX,LOC034,LOC034-U01,P007,26,9,1
2026-01-01,DE,LOC003,LOC003-U01,P006,37,12,4
2026-01-01,DE,LOC003,LOC003-U01,P003,138,9,3
2026-01-01,DE,LOC003,LOC003-U01,P001,119,15,1
2026-01-01,DE,LOC003,LOC003-U01,P007,167,5,1
2026-01-01,ES,LOC004,LOC004-U02,P006,31,4,7
2026-01-01,ES,LOC004,LOC004-U02,P003,167,6,7
2026-01-01,ES,LOC004,LOC004-U02,P001,175,2,5
2026-01-01,ES,LOC004,LOC004-U02,P007,140,1,4
2026-01-01,RO,LOC019,LOC019-U02,P006,29,1,3
2026-01-01,RO,LOC019,LOC019-U02,P003,63,9,2
2026-01-01,RO,LOC019,LOC019-U02,P001,164,0,6
2026-01-01,RO,LOC019,LOC019-U02,P007,48,5,2
2026-01-01,SA,LOC024,LOC024-U01,P006,121,15,3
2026-01-01,SA,LOC024,LOC024-U01,P003,145,3,6
2026-01-01,SA,LOC024,LOC024-U01,P001,61,9,4
