business_date,country_code,location_id,location_name,unit_id,unit_name,transaction_id,transaction_line_id,transaction_completed_ts,product_id,product_name,product_category,is_combo,quantity,gross_sales,discount_amount,tax_amount,discount_type,discount_name,line_status,is_priced_product,is_kitchen_instruction,source_sequence,source_update_ts,extraction_ts,source_file_name
2026-01-01,NZ,LOC030,NZ Airport Terminal 1,LOC030-U01,Express Kiosk,T0000000001,T0000000001-001,2026-01-01T05:16:00+00:00,P007,Croissant,Bakery,False,3,8.85,2.21,1.33,WASTE,End of Day Markdown,completed,True,False,1,2026-01-01T05:21:00+00:00,2026-01-01T07:16:00+00:00,oracle_sales_2026-01-01_run_01.csv
2026-01-01,NZ,LOC030,NZ Airport Terminal 1,LOC030-U01,Express Kiosk,T0000000001,T0000000001-002,2026-01-01T05:16:00+00:00,P006,Bottled Water,Cold Drinks,False,2,4.8,1.2,0.72,WASTE,End of Day Markdown,completed,True,False,1,2026-01-01T05:21:00+00:00,2026-01-01T07:16:00+00:00,oracle_sales_2026-01-01_run_01.csv
2026-01-01,NZ,LOC030,NZ Airport Terminal 1,LOC030-U01,Express Kiosk,T0000000001,T0000000001-003,2026-01-01T05:16:00+00:00,P001,Flat White,Hot Drinks,False,2,7.6,1.9,1.14,WASTE,End of Day Markdown,completed,True,False,1,2026-01-01T05:21:00+00:00,2026-01-01T07:16:00+00:00,oracle_sales_2026-01-01_run_01.csv
2026-01-01,NZ,LOC030,NZ Airport Terminal 1,LOC030-U01,Express Kiosk,T0000000002,T0000000002-001,2026-01-01T11:28:00+00:00,P002,Americano,Hot Drinks,False,1,3.2,0.26,0.59,LOYALTY,Loyalty App Offer,completed,True,False,1,2026-01-01T11:33:00+00:00,2026-01-01T13:28:00+00:00,oracle_sales_2026-01-01_run_01.csv
2026-01-01,NZ,LOC030,NZ Airport Terminal 1,LOC030-U01,Express Kiosk,T0000000002,T0000000002-002,2026-01-01T11:28:00+00:00,P007,Croissant,Bakery,False,2,5.9,0.47,1.09,LOYALTY,Loyalty App Offer,completed,True,False,1,2026-01-01T11:33:00+00:00,2026-01-01T13:28:00+00:00,oracle_sales_2026-01-01_run_01.csv
2026-01-01,NZ,LOC030,NZ Airport Terminal 1,LOC030-U01,Express Kiosk,T0000000002,T0000000002-003,2026-01-01T11:28:00+00:00,P006,Bottled Water,Cold Drinks,False,1,2.4,0.19,0.44,LOYALTY,Loyalty App Offer,completed,True,False,1,2026-01-01T11:33:00+00:00,2026-01-01T13:28:00+00:00,oracle_sales_2026-01-01_run_01.csv
2026-01-01,NZ,LOC030,NZ Airport Terminal 1,LOC030-U01,Express Kiosk,T0000000003,T0000000003-001,2026-01-01T16:07:00+00:00,P001,Flat White,Hot Drinks,False,3,11.4,0.91,2.1,LOYALTY,Loyalty App Offer,completed,True,False,1,2026-01-01T16:12:00+00:00,2026-01-01T18:07:00+00:00,oracle_sales_2026-01-01_run_01.csv
2026-01-01,NZ,LOC030,NZ Airport Terminal 1,LOC030-U01,Express Kiosk,T0000000003,T0000000003-002,2026-01-01T16:07:00+00:00,P002,Americano,Hot Drinks,False,1,3.2,0.26,0.59,LOYALTY,Loyalty App Offer,completed,True,False,1,2026-01-01T16:12:00+00:00,2026-01-01T18:07:00+00:00,oracle_sales_2026-01-01_run_01.csv
2026-01-01,NZ,LOC030,NZ Airport Terminal 1,LOC030-U01,Express Kiosk,T0000000003,T0000000003-003,2026-01-01T16:07:00+00:00,P001,Flat White,Hot Drinks,False,1,3.8,0.3,0.7,LOYALTY,Loyalty App Offer,completed,True,False,1,2026-01-01T16:12:00+00:00,2026-01-01T18:07:00+00:00,oracle_sales_2026-01-01_run_01.csv
2026-01-01,NZ,LOC030,NZ Airport Terminal 1,LOC030-U01,Express Kiosk,T0000000004,T0000000004-001,2026-01-01T06:25:00+00:00,P006,Bottled Water,Cold Drinks,False,3,7.2,0.58,1.32,LOYALTY,Loyalty App Offer,completed,True,False,1,2026-01-01T06:30:00+00:00,2026-01-01T08:25:00+00:00,oracle_sales_2026-01-01_run_01.csv
