business_date,unit_id,daily_budget_net_sales
2026-01-01,LOC030-U01,4149.88
2026-01-01,LOC028-U01,4916.39
2026-01-01,LOC022-U01,7147.13
2026-01-01,LOC034-U01,3939.53
2026-01-01,LOC003-U01,2645.51
2026-01-01,LOC004-U02,5147.59
2026-01-01,LOC019-U02,3689.06
2026-01-01,LOC024-U01,7023.0
2026-01-01,LOC033-U01,8813.11
2026-01-01,LOC038-U02,3371.66
2026-01-01,LOC027-U02,2849.28
2026-01-01,LOC003-U02,6520.54
2026-01-01,LOC036-U01,3395.27
2026-01-01,LOC035-U01,7184.07
2026-01-01,LOC001-U01,4974.62
2026-01-01,LOC017-U02,8113.98
2026-01-01,LOC013-U01,4179.96
2026-01-01,LOC013-U02,5832.89
2026-01-01,LOC038-U01,3673.2
2026-01-01,LOC008-U02,4883.21
2026-01-02,LOC030-U01,5974.81
2026-01-02,LOC028-U01,5304.69
2026-01-02,LOC022-U01,8789.97
2026-01-02,LOC034-U01,8771.1
2026-01-02,LOC003-U01,4478.34
2026-01-02,LOC004-U02,4070.8
2026-01-02,LOC019-U02,7742.47
2026-01-02,LOC024-U01,8356.83
2026-01-02,LOC033-U01,5842.01
2026-01-02,LOC038-U02,3674.92
2026-01-02,LOC027-U02,2735.2
2026-01-02,LOC003-U02,7121.11
2026-01-02,LOC036-U01,2514.44
2026-01-02,LOC035-U01,3700.5
2026-01-02,LOC001-U01,7378.08
2026-01-02,LOC017-U02,5075.74
2026-01-02,LOC013-U01,3352.03
2026-01-02,LOC013-U02,5365.45
2026-01-02,LOC038-U01,5581.41
2026-01-02,LOC008-U02,7965.51
2026-01-03,LOC030-U01,5119.37
2026-01-03,LOC028-U01,6705.21
2026-01-03,LOC022-U01,5032.43
2026-01-03,LOC034-U01,3692.98
2026-01-03,LOC003-U01,8814.9
2026-01-03,LOC004-U02,5944.88
2026-01-03,LOC019-U02,8822.6
2026-01-03,LOC024-U01,3573.57
2026-01-03,LOC033-U01,8348.72
2026-01-03,LOC038-U02,5058.16
2026-01-03,LOC027-U02,5826.22
2026-01-03,LOC003-U02,3171.32
2026-01-03,LOC036-U01,6183.51
2026-01-03,LOC035-U01,2865.61
2026-01-03,LOC001-U01,3160.11
2026-01-03,LOC017-U02,8819.38
2026-01-03,LOC013-U01,4853.4
2026-01-03,LOC013-U02,6704.92
2026-01-03,LOC038-U01,8366.07
2026-01-03,LOC008-U02,5148.8
2026-01-04,LOC030-U01,3111.89
2026-01-04,LOC028-U01,6068.65
2026-01-04,LOC022-U01,4775.84
2026-01-04,LOC034-U01,5769.52
2026-01-04,LOC003-U01,4614.74
2026-01-04,LOC004-U02,5765.73
2026-01-04,LOC019-U02,5692.72
2026-01-04,LOC024-U01,4305.87
2026-01-04,LOC033-U01,4072.09
2026-01-04,LOC038-U02,3875.63
2026-01-04,LOC027-U02,8818.4
2026-01-04,LOC003-U02,6493.45
2026-01-04,LOC036-U01,4874.39
2026-01-04,LOC035-U01,8706.71
2026-01-04,LOC001-U01,7581.87
2026-01-04,LOC017-U02,7694.92
2026-01-04,LOC013-U01,5101.6
2026-01-04,LOC013-U02,2852.24
2026-01-04,LOC038-U01,2935.66
2026-01-04,LOC008-U02,7087.7
2026-01-05,LOC030-U01,4564.58
2026-01-05,LOC028-U01,3004.74
2026-01-05,LOC022-U01,4291.45
2026-01-05,LOC034-U01,4473.64
2026-01-05,LOC003-U01,6539.0
2026-01-05,LOC004-U02,4891.24
2026-01-05,LOC019-U02,2926.82
2026-01-05,LOC024-U01,8987.35
2026-01-05,LOC033-U01,2845.07
2026-01-05,LOC038-U02,4422.6
2026-01-05,LOC027-U02,5043.56
2026-01-05,LOC003-U02,6390.76
2026-01-05,LOC036-U01,6067.74
2026-01-05,LOC035-U01,3473.32
2026-01-05,LOC001-U01,4840.83
2026-01-05,LOC017-U02,5480.59
