business_date,unit_id,forecast_net_sales
2026-01-01,LOC030-U01,4071.57
2026-01-01,LOC028-U01,4645.01
2026-01-01,LOC022-U01,6857.78
2026-01-01,LOC034-U01,3519.42
2026-01-01,LOC003-U01,2330.8
2026-01-01,LOC004-U02,6072.37
2026-01-01,LOC019-U02,3424.73
2026-01-01,LOC024-U01,8165.56
2026-01-01,LOC033-U01,8244.48
2026-01-01,LOC038-U02,3269.16
2026-01-01,LOC027-U02,2540.68
2026-01-01,LOC003-U02,6234.69
2026-01-01,LOC036-U01,3172.52
2026-01-01,LOC035-U01,6299.94
2026-01-01,LOC001-U01,4907.89
2026-01-01,LOC017-U02,9631.25
2026-01-01,LOC013-U01,4675.31
2026-01-01,LOC013-U02,6357.98
2026-01-01,LOC038-U01,3426.34
2026-01-01,LOC008-U02,4573.23
2026-01-02,LOC030-U01,5280.15
2026-01-02,LOC028-U01,5066.74
2026-01-02,LOC022-U01,10116.78
2026-01-02,LOC034-U01,9187.99
2026-01-02,LOC003-U01,5089.15
2026-01-02,LOC004-U02,4248.32
2026-01-02,LOC019-U02,8714.86
2026-01-02,LOC024-U01,8780.52
2026-01-02,LOC033-U01,5382.81
2026-01-02,LOC038-U02,3594.45
2026-01-02,LOC027-U02,2862.92
2026-01-02,LOC003-U02,6578.68
2026-01-02,LOC036-U01,2729.83
2026-01-02,LOC035-U01,3569.24
2026-01-02,LOC001-U01,7533.4
2026-01-02,LOC017-U02,4633.74
2026-01-02,LOC013-U01,3942.0
2026-01-02,LOC013-U02,4930.08
2026-01-02,LOC038-U01,6626.13
2026-01-02,LOC008-U02,6807.77
2026-01-03,LOC030-U01,4807.57
2026-01-03,LOC028-U01,6499.29
2026-01-03,LOC022-U01,5317.6
2026-01-03,LOC034-U01,3410.78
2026-01-03,LOC003-U01,8271.4
2026-01-03,LOC004-U02,6708.39
2026-01-03,LOC019-U02,8683.0
2026-01-03,LOC024-U01,3402.02
2026-01-03,LOC033-U01,8986.34
2026-01-03,LOC038-U02,5549.81
2026-01-03,LOC027-U02,6380.92
2026-01-03,LOC003-U02,3768.52
2026-01-03,LOC036-U01,6811.93
2026-01-03,LOC035-U01,2858.62
2026-01-03,LOC001-U01,2856.54
2026-01-03,LOC017-U02,9254.65
2026-01-03,LOC013-U01,4379.75
2026-01-03,LOC013-U02,6337.15
2026-01-03,LOC038-U01,8122.29
2026-01-03,LOC008-U02,4748.07
2026-01-04,LOC030-U01,3098.32
2026-01-04,LOC028-U01,5624.43
2026-01-04,LOC022-U01,5257.31
2026-01-04,LOC034-U01,6193.88
2026-01-04,LOC003-U01,4798.27
2026-01-04,LOC004-U02,6700.36
2026-01-04,LOC019-U02,5568.16
2026-01-04,LOC024-U01,5055.05
2026-01-04,LOC033-U01,4225.65
2026-01-04,LOC038-U02,3579.09
2026-01-04,LOC027-U02,7498.29
2026-01-04,LOC003-U02,7545.46
2026-01-04,LOC036-U01,4855.79
2026-01-04,LOC035-U01,10245.1
2026-01-04,LOC001-U01,7103.58
2026-01-04,LOC017-U02,7657.31
2026-01-04,LOC013-U01,5213.02
2026-01-04,LOC013-U02,2454.08
2026-01-04,LOC038-U01,3045.24
2026-01-04,LOC008-U02,6424.88
2026-01-05,LOC030-U01,5167.37
2026-01-05,LOC028-U01,3420.83
2026-01-05,LOC022-U01,3933.16
2026-01-05,LOC034-U01,4085.88
2026-01-05,LOC003-U01,6173.54
2026-01-05,LOC004-U02,5778.62
2026-01-05,LOC019-U02,3102.78
2026-01-05,LOC024-U01,8988.86
2026-01-05,LOC033-U01,2959.05
2026-01-05,LOC038-U02,5205.8
2026-01-05,LOC027-U02,5364.12
2026-01-05,LOC003-U02,7297.16
2026-01-05,LOC036-U01,5289.65
2026-01-05,LOC035-U01,3650.23
2026-01-05,LOC001-U01,4604.72
2026-01-05,LOC017-U02,4819.39
2026-01-05,LOC013-U01,4523.28
2026-01-05,LOC013-U02,3261.2
2026-01-05,LOC038-U01,9402.36
2026-01-05,LOC008-U02,5163.07
2026-01-06,LOC030-U01,3125.84
2026-01-06,LOC028-U01,7716.23
2026-01-06,LOC022-U01,9701.24
2026-01-06,LOC034-U01,4306.72
2026-01-06,LOC003-U01,9151.25
2026-01-06,LOC004-U02,6197.6
2026-01-06,LOC019-U02,8859.82
2026-01-06,LOC024-U01,7408.73
2026-01-06,LOC033-U01,7464.52
2026-01-06,LOC038-U02,7970.44
2026-01-06,LOC027-U02,7731.73
2026-01-06,LOC003-U02,5986.53
2026-01-06,LOC036-U01,2659.46
2026-01-06,LOC035-U01,4910.09
2026-01-06,LOC001-U01,6663.38
2026-01-06,LOC017-U02,2578.77
2026-01-06,LOC013-U01,4804.66
2026-01-06,LOC013-U02,6440.2
2026-01-06,LOC038-U01,7350.76
2026-01-06,LOC008-U02,6817.45
2026-01-07,LOC030-U01,3334.76
2026-01-07,LOC028-U01,6976.75
2026-01-07,LOC022-U01,3422.3
2026-01-07,LOC034-U01,6537.98
2026-01-07,LOC003-U01,8423.15
2026-01-07,LOC004-U02,6319.86
2026-01-07,LOC019-U02,4259.95
2026-01-07,LOC024-U01,6152.69
2026-01-07,LOC033-U01,6556.95
2026-01-07,LOC038-U02,2596.82
2026-01-07,LOC027-U02,9333.18
2026-01-07,LOC003-U02,2803.1
2026-01-07,LOC036-U01,9913.55
2026-01-07,LOC035-U01,5876.24
2026-01-07,LOC001-U01,2903.58
2026-01-07,LOC017-U02,7639.78
2026-01-07,LOC013-U01,8790.63
2026-01-07,LOC013-U02,4973.74
2026-01-07,LOC038-U01,7367.35
2026-01-07,LOC008-U02,7585.05
2026-01-08,LOC030-U01,2904.15
2026-01-08,LOC028-U01,7608.98
2026-01-08,LOC022-U01,7705.15
2026-01-08,LOC034-U01,8423.37
2026-01-08,LOC003-U01,4750.37
2026-01-08,LOC004-U02,7994.13
2026-01-08,LOC019-U02,6697.68
2026-01-08,LOC024-U01,8413.42
2026-01-08,LOC033-U01,3805.01
2026-01-08,LOC038-U02,6020.75
2026-01-08,LOC027-U02,7907.4
2026-01-08,LOC003-U02,4154.59
2026-01-08,LOC036-U01,6218.93
2026-01-08,LOC035-U01,9641.61
2026-01-08,LOC001-U01,6554.57
2026-01-08,LOC017-U02,3621.84
2026-01-08,LOC013-U01,4856.95
2026-01-08,LOC013-U02,3764.41
2026-01-08,LOC038-U01,3587.61
2026-01-08,LOC008-U02,9949.84
2026-01-09,LOC030-U01,10508.13
2026-01-09,LOC028-U01,8221.09
2026-01-09,LOC022-U01,8477.15
2026-01-09,LOC034-U01,4671.64
2026-01-09,LOC003-U01,3577.83
2026-01-09,LOC004-U02,6775.07
2026-01-09,LOC019-U02,2919.31
2026-01-09,LOC024-U01,3513.44
2026-01-09,LOC033-U01,4021.22
2026-01-09,LOC038-U02,4552.47
2026-01-09,LOC027-U02,3247.65
2026-01-09,LOC003-U02,7966.28
2026-01-09,LOC036-U01,8201.31
2026-01-09,LOC035-U01,3121.95
2026-01-09,LOC001-U01,5476.3
2026-01-09,LOC017-U02,5671.14
2026-01-09,LOC013-U01,3204.71
2026-01-09,LOC013-U02,3807.62
2026-01-09,LOC038-U01,9337.33
2026-01-09,LOC008-U02,5225.72
2026-01-10,LOC030-U01,5636.58
2026-01-10,LOC028-U01,4383.37
2026-01-10,LOC022-U01,4098.12
2026-01-10,LOC034-U01,3330.35
2026-01-10,LOC003-U01,2718.19
2026-01-10,LOC004-U02,4910.05
2026-01-10,LOC019-U02,5572.09
2026-01-10,LOC024-U01,7895.48
2026-01-10,LOC033-U01,9182.26
2026-01-10,LOC038-U02,7210.79
2026-01-10,LOC027-U02,5983.57
2026-01-10,LOC003-U02,9085.26
2026-01-10,LOC036-U01,8399.02
2026-01-10,LOC035-U01,2606.05
2026-01-10,LOC001-U01,9860.28
2026-01-10,LOC017-U02,3755.03
2026-01-10,LOC013-U01,4963.85
2026-01-10,LOC013-U02,6096.36
2026-01-10,LOC038-U01,8908.65
2026-01-10,LOC008-U02,7389.34
